IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP7;IP_PROP1;IP_PROP2;IP_PROP3;IP_PROP13;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP27;IP_PROP28;IC_GROUP0;IC_GROUP1;IC_GROUP2
148944;Юбка;148944;Y;;;/upload/iblock/0d7/0d7a9c3efb0cdf94f43d35d11ee3b0cf.jpg;;html;/upload/iblock/d13/d13b536ecc9fa79b0289e7abe6b9a1c9.jpg;;html;;;;LRBBGW13SK06;13;2290.0000;910.0000;;;;Юбка La Reine Blanche (Модель:LRBBGW13SK06) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBBGW13SK06) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148945;Юбка;148945;Y;;;/upload/iblock/f47/f47057e90495394d7cdf0b698c95aa3d.jpg;;html;/upload/iblock/515/5156b037faf69317668605988df51625.jpg;;html;;;;ACBGW13SK19;2;1990.0000;1190.0000;;;;Юбка Acasta (Модель:ACBGW13SK19) ;Юбка, Acasta;Юбка Acasta (Модель:ACBGW13SK19) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148946;Юбка;148946;Y;;;/upload/iblock/b2d/b2d1df094598e32d12cfbdce960750f3.jpg;;html;/upload/iblock/20c/20c1dc388bbb2875a28e07f980f03c21.jpg;;html;;;;LRBMDW13SK04;13;1990.0000;990.0000;;;;Юбка La Reine Blanche (Модель:LRBMDW13SK04) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBMDW13SK04) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148947;Юбка;148947;Y;;;/upload/iblock/27e/27ef73d117d23dee0f9e53d948872872.jpg;;html;/upload/iblock/9d6/9d66192cbcabd533601c7a034ad6768e.jpg;;html;;;;LRBMKW13SK32;13;2290.0000;1370.0000;;;;Юбка La Reine Blanche (Модель:LRBMKW13SK32) ;Юбка, La Reine Blanche;Юбка La Reine Blanche (Модель:LRBMKW13SK32) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148948;Платье;148948;Y;;;/upload/iblock/690/690853764df9313a02b0b415c99dd34a.jpg;;html;/upload/iblock/0a2/0a2765cf2953e4e9c382b5fbf40a8976.jpg;;html;;;;66 760 453;1;6900.0000;;;;;Платье Betty Barclay (Модель:66 760 453) ;Платье, Betty Barclay;Платье Betty Barclay (Модель:66 760 453) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148949;Платье;148949;Y;;;/upload/iblock/b46/b46056c86c8ad7e28a392ef8c4434724.jpg;;html;/upload/iblock/8b1/8b17981b72409745f45f5cd9cb349463.jpg;;html;;;;LRBNPW13DR29;13;2790.0000;790.0000;;;;Платье La Reine Blanche (Модель:LRBNPW13DR29) ;Платье, La Reine Blanche;Платье La Reine Blanche (Модель:LRBNPW13DR29) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148950;Туника;148950;Y;;;/upload/iblock/1e9/1e947bdede1446668d2d04639bd245b8.jpg;;html;/upload/iblock/23f/23fff5272fdd439fd83bac3114dc84ad.jpg;;html;;;;LRAKW305;13;990.0000;390.0000;;;;Туника La Reine Blanche (Модель:LRAKW305) ;Туника, La Reine Blanche;Туника La Reine Blanche (Модель:LRAKW305) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148951;Джемпер женский трикотажный;148951;Y;;;/upload/iblock/0b8/0b8b853c40652932c42ca13e9bc2b490.jpg;;html;/upload/iblock/7fa/7fad380febb60b0e3e2a389760c04ec5.jpg;;html;;;;ACBGW13BL09;2;1790.0000;590.0000;;;;Джемпер женский трикотажный Acasta (Модель:ACBGW13BL09) ;Джемпер женский трикотажный, Acasta;Джемпер женский трикотажный Acasta (Модель:ACBGW13BL09) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148952;Джемпер женский;148952;Y;;;/upload/iblock/821/8210b6eef14864d01e0b7445b5be3b85.jpg;;html;/upload/iblock/5cb/5cbf58b4843de40d720cca5fe9b03b6b.jpg;;html;;;;NHFTW13JP14;7;1790.0000;990.0000;;;;Джемпер женский Neohit (Модель:NHFTW13JP14) ;Джемпер женский, Neohit;Джемпер женский Neohit (Модель:NHFTW13JP14) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
148953;Водолазка трикотажная;148953;Y;;;/upload/iblock/e72/e721e72837f7504e34ac1182bbbd094a.jpg;;html;/upload/iblock/627/62734f8a9bc816f20b98d5bce6e7ea46.jpg;;html;;;;ACNPW13JP21;2;2490.0000;590.0000;;;;Водолазка трикотажная Acasta (Модель:ACNPW13JP21) ;Водолазка трикотажная, Acasta;Водолазка трикотажная Acasta (Модель:ACNPW13JP21) ;;;Осень - Зима `12-`13;Женская коллекция;Одежда
