IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
326;Богодухов;550360;Y;;;;;text;;;text;;;Восточная Украина;50.1608;35.5164;Харьковская область;;;
327;Змиёв;550361;Y;;;;;text;;;text;;;Восточная Украина;49.6944;36.3595;Харьковская область;;;
328;Комсомольское;550362;Y;;;;;text;;;text;;;Восточная Украина;49.5983;36.5281;Харьковская область;;;
329;Солоницевка;550363;Y;;;;;text;;;text;;;Восточная Украина;49.9963;36.0351;Харьковская область;;;
331;Высокий;550364;Y;;;;;text;;;text;;;Восточная Украина;49.8850;36.1111;Харьковская область;;;
339;Кременная;550365;Y;;;;;text;;;text;;;Восточная Украина;49.0500;38.2211;Луганская область;;;
340;Лутугино;550366;Y;;;;;text;;;text;;;Восточная Украина;48.4023;39.2091;Луганская область;;;
341;Молодогвардейск;550367;Y;;;;;text;;;text;;;Восточная Украина;48.3444;39.6583;Луганская область;;;
343;Петровское;550368;Y;;;;;text;;;text;;;Восточная Украина;48.3054;38.8923;Луганская область;;;
346;Старобельск;550369;Y;;;;;text;;;text;;;Восточная Украина;49.2833;38.9167;Луганская область;;;
349;Алчевск;550370;Y;;;;;text;;;text;;;Восточная Украина;48.4667;38.8000;Луганская область;;;
350;Антрацит;550371;Y;;;;;text;;;text;;;Восточная Украина;48.1336;39.0953;Луганская область;;;
353;Красный Луч;550372;Y;;;;;text;;;text;;;Восточная Украина;48.1333;38.9333;Луганская область;;;
354;Краснодон;550373;Y;;;;;text;;;text;;;Восточная Украина;48.3000;39.7333;Луганская область;;;
355;Лисичанск;550374;Y;;;;;text;;;text;;;Восточная Украина;48.9137;38.4346;Луганская область;;;
